module,path,name,summary,version,category,depends,auto_install,application,license,has_qweb,has_data
l10n_mx_tax_cash_basis,addons/enterprise/l10n_mx_tax_cash_basis,Tax Cash Basis Entries at Payment Date,"
    Properly create the Journal Entries on Tax Cash basis when using foreign
    currencies the Tax must be set at date of payment
    ",0.1,Accounting,l10n_mx_edi,True,,OEEL-1,False,False
l10n_nl_intrastat,addons/enterprise/l10n_nl_intrastat,Netherlands Intrastat Declaration,,,Localization,"l10n_nl,account_intrastat",True,,,False,True
l10n_nl_reports,addons/enterprise/l10n_nl_reports,Netherlands - Accounting Reports,,1.5,Accounting,"l10n_nl,account_reports",True,,OEEL-1,False,True
l10n_no_reports,addons/enterprise/l10n_no_reports,Norway - Accounting Reports,,1.1,Accounting,"l10n_no,account_reports",True,,OEEL-1,False,True
l10n_pl_reports,addons/enterprise/l10n_pl_reports,Poland - Accounting Reports,,1.1,Accounting,"l10n_pl,account_reports",True,,OEEL-1,False,True
l10n_ro_reports,addons/enterprise/l10n_ro_reports,Romania - Accounting Reports,,1.1,Accounting,"l10n_ro,account_reports",True,,OEEL-1,False,True
l10n_sg_reports,addons/enterprise/l10n_sg_reports,Singapore - Accounting Reports,,1.1,Accounting,"l10n_sg,account_reports",True,,OEEL-1,False,True
l10n_si_reports,addons/enterprise/l10n_si_reports,Slovenian - Accounting Reports,,1.1,Accounting,"l10n_si,account_reports",True,,OEEL-1,False,True
l10n_th_reports,addons/enterprise/l10n_th_reports,Thailand - Accounting Reports,,1.1,Accounting,"l10n_th,account_reports",True,,OEEL-1,False,True
l10n_uk_reports,addons/enterprise/l10n_uk_reports,UK - Accounting Reports,,1.1,Accounting,"l10n_uk,account_reports",True,,OEEL-1,False,True
l10n_uk_reports_hmrc,addons/enterprise/l10n_uk_reports_hmrc,UK - Accounting Reports to HMRC,,1.1,Accounting,l10n_uk_reports,True,,OEEL-1,False,True
l10n_us_check_printing,addons/enterprise/l10n_us_check_printing,US Checks Layout,Print US Checks,1.0,Accounting,"account_check_printing,l10n_us",True,,OEEL-1,False,True
l10n_us_reports,addons/enterprise/l10n_us_reports,US - Accounting Reports,,1.0,Accounting,"l10n_us,account_reports",True,,OEEL-1,False,True
l10n_uy_reports,addons/enterprise/l10n_uy_reports,Uruguay - Accounts Reports,,1.1,Accounting,"l10n_uy,account_reports",True,,OEEL-1,False,True
l10n_vn_reports,addons/enterprise/l10n_vn_reports,Vietnam - Accounting Reports,,1.1,Accounting,"l10n_vn,account_reports",True,,OEEL-1,False,True
mail_enterprise,addons/enterprise/mail_enterprise,Mail Enterprise,,,Discuss,mail,True,,OEEL-1,True,True
mail_github,addons/enterprise/mail_github,Github Integration with Discuss,,,Discuss,mail,,,OEEL-1,False,True
marketing_automation,addons/enterprise/marketing_automation,Marketing Automation,Build automated mailing campaigns,1.0,Marketing,mass_mailing,,True,OEEL-1,False,True
mass_mailing_themes,addons/enterprise/mass_mailing_themes,Mass Mailing Themes,Design gorgeous mails,1.0,Marketing,mass_mailing,True,,OEEL-1,False,True
mrp_account,addons/enterprise/mrp_account,Accounting - MRP,Analytic accounting in Manufacturing,1.0,Manufacturing,"mrp,stock_account",True,,OEEL-1,False,True
mrp_maintenance,addons/enterprise/mrp_maintenance,Maintenance - MRP,Schedule and manage maintenance on machine and tools.,1.0,Manufacturing,"mrp_workorder,maintenance",True,,OEEL-1,False,True
mrp_mps,addons/enterprise/mrp_mps,Master Production Schedule,Master Production Schedule,1.0,Manufacturing,"mrp,purchase",,False,OEEL-1,True,True
